CONTROLE FINANCEIRO 2026,,,,,,,,,,,
CPFL ,"R$ 292,96",FACULDADE LUCAS,"R$ 130,00",FACULDADE LUCAS,"R$ 130,00",FACULDADE LUCAS,"R$ 130,00",FACULDADE LUCAS,"R$ 130,00",CELULAR LETÍCIA  8(10),"R$ 125,00"
FACULDADE LUCAS,"R$ 130,00",IPTU 6(7),"R$ 109,00",IPTU 7(7),"R$ 109,00",CELULAR LETÍCIA  6(10),"R$ 125,00",CELULAR LETÍCIA  7(10),"R$ 125,00",,
IPTU 5(7),"R$ 109,00",BICICLETA ALICE 5(5),"R$ 46,38",CELULAR LETÍCIA  5(10),"R$ 125,00",,,,,,
IPVA 5(5),"R$ 154,41",CELULAR LETÍCIA  4(10),"R$ 125,00",,,,,,,,
BICICLETA ALICE 4(5),"R$ 46,38",,,,,,,,,,
CELULAR LETÍCIA  3(10),"R$ 125,00",,,,,,,,,,
TOTAL CONTAS,"R$ 4 869,04",TOTAL CONTAS,"R$ 4 704,63",TOTAL CONTAS,"R$ 4 658,25",TOTAL CONTAS,"R$ 4 549,25",TOTAL CONTAS,"R$ 4 549,25",TOTAL CONTAS,"R$ 4 495,25"
ENTRADA 1 (SALÁRIO),"R$ 1 900,00",ENTRADA 1 (SALÁRIO),"R$ 1 900,00",ENTRADA 1 (SALÁRIO),"R$ 1 900,00",ENTRADA 1 (SALÁRIO),"R$ 1 900,00",ENTRADA 1 (SALÁRIO),"R$ 1 900,00",ENTRADA 1 (SALÁRIO),"R$ 1 900,00"
ENTRADA 2,"R$ 2 100,00",ENTRADA 2,"R$ 2 100,00",ENTRADA 2,"R$ 2 100,00",ENTRADA 2,"R$ 2 100,00",ENTRADA 2,"R$ 2 100,00",ENTRADA 2,"R$ 2 100,00"
ENTRADA 3,"R$ 1 500,00",ENTRADA 3,"R$ 1 500,00",ENTRADA 3,"R$ 1 500,00",ENTRADA 3,"R$ 1 500,00",ENTRADA 3,"R$ 1 500,00",ENTRADA 3,"R$ 1 500,00"
ENTRADA 4,,ENTRADA 4,,ENTRADA 4,,ENTRADA 4,,ENTRADA 4,,ENTRADA 4,
ENTRADA 5,,ENTRADA 5,,ENTRADA 5,,ENTRADA 5,,ENTRADA 5,,ENTRADA 5,
,,,,,,,,,,,
SALDO,"R$ 630,96",SALDO,"R$ 795,37",SALDO,"R$ 841,75",SALDO,"R$ 950,75",SALDO,"R$ 950,75",SALDO,"R$ 1 004,75"
